sampleId	accession	fq
CGG_2_17661	CGG_2_17661-lib-007	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1F_CAGCTA-AGAGCT_L005_R1_002.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-008	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1G_ACATAC-AGAGCT_L005_R1_001.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-009	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1G_ACATAC-AGAGCT_L005_R1_002.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-010	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1H_TGAGCC-AGAGCT_L005_R1_001.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-011	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1H_TGAGCC-AGAGCT_L005_R1_002.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-012	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1I_TGAACA-TCTCTA_L005_R1_001.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-013	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1J_TCTCGC-TCTCTA_L005_R1_001.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-014	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1K_GACCGG-TCTCTA_L005_R1_001.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-015	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1L_CTCTAG-TCTCTA_L005_R1_001.trim.fq.gz
CGG_2_17661	CGG_2_17661-lib-016	/willerslev/datasets/WABI_pipeline/fqs/SEA2_data/ESW_FV4P_CGG2_017661_C1_S1M_TGATCC-CGCTTG_L005_R1_001.trim.fq.gz
